Name,License Number,Address,Start of Validity,End of Validity,Latitude,Longitude
Éliás Gábor,DKE1010000023,1119 Budapest 11. ker. Fehérvári út 88/A.,2013.07.01,2033.06.30,47.4628354,19.0428768
Éliás Gábor,DKE8110000248,"2040 Budaörs, Budapesti út 61-63.",2022.10.03,2033.06.30,47.4621867,18.9710981
Elszívlak Bt.,DKE1010000330,"1184 Budapest, Kézműves utca 6.",2025.08.18,2034.10.28,47.4518,19.1685
Enzsöl Zsuzsanna,DKE1700000010,1041 Budapest 04. ker. Árpád-István út Metró aluljáró 1,2013.07.01,2033.06.30,,
Epres Gábor László,DKE1600000172,1171 Budapest 17. ker. Péceli út 126.,2013.07.01,2033.06.30,47.483953,19.2769877
Erdei János László,DKE1010000010,1204 Budapest 20. ker. Török Flóris   187/A.,2013.07.01,2033.06.30,47.4314733,19.1161685
Erdei János László,DKE1010000011,1204 Budapest 20. ker. Lázár utca 94.,2013.07.01,2033.06.30,47.4327293,19.1279227
Erős Dohány Bt,DKE1010000076,1221 Budapest 22. ker. Játék utca 2-12.,2013.07.01,2033.06.30,47.4280034,19.0400753
Ertinger Tiborné,DKE1010000075,1183 Budapest 18. ker. Széchenyi István utca 6.,2013.07.01,2033.06.30,47.4455801,19.1746661
Esze-Láng Bettina Anett,DKE1010000016,1188 Budapest 18. ker. Kisfaludy utca 112.,2013.07.01,2033.06.30,47.4041924,19.1987703
"ETA és KRISZTINA
 Kereskedelmi
 Betéti Társaság",DKE1700000049,"1022 Budapest, Bimbó
 út 45.",2024.11.21,2033.06.30,47.5166953,19.0248465
Faragó Trafik Bt,DKE1600000088,1105 Budapest 10. ker. Kápolna utca 15.,2013.07.01,2033.06.30,47.4817474,19.1310409
Faragó Trafik Bt,DKE1600000144,1173 Budapest 17. ker. Pesti út 159.,2013.07.01,2033.06.30,47.4796723,19.2516541
Faragóné Mandrik Andrea,DKE1600000316,1173 Budapest 17. ker. Jósika utca 42.,2014.10.07,2034.08.24,47.4571854,19.2326976
Fehér-Ifju Ivett,DKE1700000009,"1042 Budapest, Király utca 9.",2026.03.01,2033.06.30,47.5624578,19.0918893
Fehérfüst Bt,DKE1600000012,1157 Budapest 15. ker. Erdőkerülő utca 36.,2013.07.01,2033.06.30,47.5414584,19.1501685
Fekecs Róbert Imréné,DKE1600000037,1108 Budapest 10. ker. Újhegyi sétány 18.,2013.07.01,2033.06.30,47.4716073,19.1643636
Fekete 86 Dohány Bt.,DKE1600000135,1163 Budapest 16. ker. Thököly út 10.,2013.07.01,2033.06.30,47.5326523,19.1271539
Feld Tabak Bt,DKE1700000038,1025 Budapest 02. ker. Törökvész út 76.,2013.07.01,2033.06.30,47.5280668,19.0060817
Ferenczi Gyöngyi,DKE1600000055,1173 Budapest 17. ker. Flamingó utca 19.,2013.07.01,2033.06.30,47.4755062,19.2387402
Fibaroson Bt,DKE1700000227,1034 Budapest 03. ker. Kolosy tér 5-6,2013.07.01,2033.06.30,47.527824,19.0377723
Filtol Trafik Bt,DKE1010000106,"1112 Budapest, Balatoni út 1.",2025.01.23,2033.06.30,47.4533241,19.0073159
Filtol Trafik Bt,DKE1010000151,"1111 Budapest, Karinthy Frigyes út 12.",2025.01.23,2033.06.30,47.4772095,19.0502161
Fitti Tobacco Bt.,DKE1700000195,"1026 Budapest, Házmán utca 2.",2023.11.13,2033.06.30,47.5167026,18.9993492
Fitti Tobacco Bt.,DKE1700000196,"1036 Budapest, Bécsi út 37.",2023.11.13,2033.06.30,47.5276682,19.0376606
Flórián Tabak Bt.,DKE1700000055,"1033 Budapest, Miklós tér 4.",2023.04.28,2033.06.30,47.5454262,19.0451659
Flórián Tabak Bt.,DKE1700000056,"1033 Budapest, Flórián tér 6-9.",2023.04.26,2033.06.30,47.5424892,19.0405331
FM Tabak Bt,DKE1010000154,1221 Budapest 22. ker. Kossuth Lajos utca 25-29.,2013.07.01,2033.06.30,47.4265825,19.0385198
Fortuna Dohánybolt Bt,DKE1600000232,1164 Budapest 16. ker. Szabadföld út 19/B.,2022.11.17,2033.06.30,47.5189624,19.2166398
Fortuna Dohánybolt Bt,DKE1700000126,1032 Budapest 03. ker. Ágoston utca 1,2022.11.17,2033.06.30,47.5462719,19.0322125
FREEMIND TOBACCO Bt.,DKE1700000050,"1039 Budapest, Pünkösdfürdő utca 52.",2026.02.12,2033.06.30,47.5949367,19.0543316
Függőség Bt,DKE1700000141,1042 Budapest 04. ker. Petőfi u.- István utca sarok,2013.07.01,2033.06.30,,
Fumatore Bt,DKE1700000200,1133 Budapest 13. ker. Dráva utca 22.,2013.07.01,2033.06.30,47.5256912,19.0576618
Fumatore Bt,DKE1700000201,1134 Budapest 13. ker. Váci út 9-15.,2013.07.01,2033.06.30,47.517882,19.0607373
Fumatore Bt,DKE1700000202,1138 Budapest 13. ker. Dunavirág utca 2.,2013.07.01,2033.06.30,47.5353468,19.0604101
Fumo Gold Bt.,DKE1700000081,"1131 Budapest, Rokolya utca 1-13.",2022.11.25,2033.06.30,47.5420323,19.0879603
Füstölgő-trafik Bt,DKE1700000088,1044 Budapest 04. ker. Megyeri út 53.,2013.07.01,2033.06.30,47.5877017,19.0991988
Gallwitz-Pipa Ker. és Szolg. Bt,DKE1700000006,1053 Budapest 05. ker. Kecskeméti utca 1.,2013.07.01,2033.06.30,47.4905855,19.059212
Garinex-Trade Bt.,DKE1700000137,1042 Budapest 04. ker. Csányi László utca 9-11.,2013.07.01,2033.06.30,47.5588335,19.0840551
Gedi Trafik Bt,DKE1010000088,"1239 Budapest, Grassalkovich út 256.",2023.11.13,2033.06.30,47.3900194,19.1192228
Gedi Trafik Bt,DKE1010000114,"1182 Budapest, Királyhágó utca 64.",2023.04.26,2033.06.30,47.4243451,19.1218501
